"","k","f","type"
"記憶力",10265,2,"記憶力"
"豈是",10266,2,"豈是"
"財",10267,2,"財"
"起起落落",10268,2,"起起落落"
"起點",10269,2,"起點"
"迴響",10270,2,"迴響"
"追討",10271,2,"追討"
"追訴",10272,2,"追訴"
"追認",10273,2,"追認"
"退下",10274,2,"退下"
"退回",10275,2,"退回"
"退步",10276,2,"退步"
"退掉",10277,2,"退掉"
"退散",10278,2,"退散"
"送去",10279,2,"送去"
"送辦",10280,2,"送辦"
"逃亡",10281,2,"逃亡"
"逃離",10282,2,"逃離"
"郝劭文",10283,2,"郝劭文"
"郝紹文",10284,2,"郝紹文"
"酌情",10285,2,"酌情"
"酒精",10286,2,"酒精"
"除去",10287,2,"除去"
"除害",10288,2,"除害"
"馬子",10289,2,"馬子"
"馬奶",10290,2,"馬奶"
"馬囧臉",10291,2,"馬囧臉"
"馬狗",10292,2,"馬狗"
"馬英丸",10293,2,"馬英丸"
"馬英囧",10294,2,"馬英囧"
"馬娘",10295,2,"馬娘"
"馬眼",10296,2,"馬眼"
"馬統",10297,2,"馬統"
"馬燈",10298,2,"馬燈"
"馬鷹",10299,2,"馬鷹"
"骨灰",10300,2,"骨灰"
"高三",10301,2,"高三"
"高低",10302,2,"高低"
"高於",10303,2,"高於"
"高明",10304,2,"高明"
"高科技",10305,2,"高科技"
"高案",10306,2,"高案"
"高高在上",10307,2,"高高在上"
"高清",10308,2,"高清"
"高貴",10309,2,"高貴"
"高階",10310,2,"高階"
"高漲",10311,2,"高漲"
"高樓",10312,2,"高樓"
"高餐",10313,2,"高餐"
"高聲",10314,2,"高聲"
"鬼才",10315,2,"鬼才"
"鬼打",10316,2,"鬼打"
"鬼扯",10317,2,"鬼扯"
"乾女兒",10318,2,"乾女兒"
"乾兒子",10319,2,"乾兒子"
"假扮",10320,2,"假扮"
"假性",10321,2,"假性"
"假假",10322,2,"假假"
"假造",10323,2,"假造"
"假惺惺",10324,2,"假惺惺"
"假象",10325,2,"假象"
"偏差",10326,2,"偏差"
"偏愛",10327,2,"偏愛"
"做主",10328,2,"做主"
"做秀",10329,2,"做秀"
"做證",10330,2,"做證"
"停工",10331,2,"停工"
"健",10332,2,"健"
"偵",10333,2,"偵"
"偷生",10334,2,"偷生"
"兜兜",10335,2,"兜兜"
"剪掉",10336,2,"剪掉"
"副主席",10337,2,"副主席"
"副總",10338,2,"副總"
"動用",10339,2,"動用"
"務必",10340,2,"務必"
"區域",10341,2,"區域"
"區間車",10342,2,"區間車"
"參",10343,2,"參"
"參考書",10344,2,"參考書"
"唬爛文",10345,2,"唬爛文"
"唯",10346,2,"唯"
"唯讀",10347,2,"唯讀"
"唱片行",10348,2,"唱片行"
"商人",10349,2,"商人"
"商家",10350,2,"商家"
"商標",10351,2,"商標"
"問心無愧",10352,2,"問心無愧"
"問法",10353,2,"問法"
"啞巴",10354,2,"啞巴"
"啥會",10355,2,"啥會"
"國大",10356,2,"國大"
"國中小",10357,2,"國中小"
"國本",10358,2,"國本"
"國母",10359,2,"國母"
"國安局",10360,2,"國安局"
"國防",10361,2,"國防"
"國定",10362,2,"國定"
"國家級",10363,2,"國家級"
"國高中",10364,2,"國高中"
"國國",10365,2,"國國"
"國歌版",10366,2,"國歌版"
"國輪",10367,2,"國輪"
"國籍",10368,2,"國籍"
"基隆",10369,2,"基隆"
"基隆市",10370,2,"基隆市"
"基隆港",10371,2,"基隆港"
"基督",10372,2,"基督"
"基督徒",10373,2,"基督徒"
"堂堂",10374,2,"堂堂"
"堅強",10375,2,"堅強"
"堵住",10376,2,"堵住"
"堵車",10377,2,"堵車"
"夠格",10378,2,"夠格"
"夠夠",10379,2,"夠夠"
"婚喪喜慶",10380,2,"婚喪喜慶"
"婦女",10381,2,"婦女"
"孰",10382,2,"孰"
"宿舍",10383,2,"宿舍"
"寄存器",10384,2,"寄存器"
"寄望",10385,2,"寄望"
"密室",10386,2,"密室"
"密集",10387,2,"密集"
"密電",10388,2,"密電"
"將要",10389,2,"將要"
"將領",10390,2,"將領"
"專員",10391,2,"專員"
"專案",10392,2,"專案"
"專程",10393,2,"專程"
"專題",10394,2,"專題"
"專屬",10395,2,"專屬"
"崇",10396,2,"崇"
"崇禎",10397,2,"崇禎"
"帳號部",10398,2,"帳號部"
"帶到",10399,2,"帶到"
"張嘴",10400,2,"張嘴"
"張數",10401,2,"張數"
"強力",10402,2,"強力"
"強化",10403,2,"強化"
"強度",10404,2,"強度"
"強國",10405,2,"強國"
"得意",10406,2,"得意"
"得當",10407,2,"得當"
"得道",10408,2,"得道"
"從未",10409,2,"從未"
"從事",10410,2,"從事"
"從頭",10411,2,"從頭"
"悽涼",10412,2,"悽涼"
"情婦",10413,2,"情婦"
"情義",10414,2,"情義"
"情操",10415,2,"情操"
"捲",10416,2,"捲"
"捷運局",10417,2,"捷運局"
"掀起",10418,2,"掀起"
"掃除",10419,2,"掃除"
"授意",10420,2,"授意"
"掏哥",10421,2,"掏哥"
"排到",10422,2,"排到"
"排長",10423,2,"排長"
"排骨",10424,2,"排骨"
"掙扎",10425,2,"掙扎"
"掛版",10426,2,"掛版"
"採證",10427,2,"採證"
"探",10428,2,"探"
"接上",10429,2,"接上"
"接收",10430,2,"接收"
"接洽",10431,2,"接洽"
"接軌",10432,2,"接軌"
"接連",10433,2,"接連"
"接管",10434,2,"接管"
"接頭",10435,2,"接頭"
"接點",10436,2,"接點"
"控訴",10437,2,"控訴"
"推成",10438,2,"推成"
"推拉",10439,2,"推拉"
"推進",10440,2,"推進"
"推廣",10441,2,"推廣"
"推錯篇",10442,2,"推錯篇"
"掩耳盜鈴",10443,2,"掩耳盜鈴"
"措手不及",10444,2,"措手不及"
"敏感",10445,2,"敏感"
"救救",10446,2,"救救"
"教好",10447,2,"教好"
"教教",10448,2,"教教"
"斬斷",10449,2,"斬斷"
"晚年",10450,2,"晚年"
"晚節",10451,2,"晚節"
"晚點",10452,2,"晚點"
"條例",10453,2,"條例"
"殺入",10454,2,"殺入"
"殺阿",10455,2,"殺阿"
"氫瘋",10456,2,"氫瘋"
"液力",10457,2,"液力"
"液冷式",10458,2,"液冷式"
"淚水",10459,2,"淚水"
"淨",10460,2,"淨"
"淪落",10461,2,"淪落"
"淪落到",10462,2,"淪落到"
"深耕",10463,2,"深耕"
"深得",10464,2,"深得"
"深造",10465,2,"深造"
"混血",10466,2,"混血"
"混得",10467,2,"混得"
"混淆",10468,2,"混淆"
"淹",10469,2,"淹"
"淹大水",10470,2,"淹大水"
"淺",10471,2,"淺"
"清除",10472,2,"清除"
"清寒",10473,2,"清寒"
"清朝",10474,2,"清朝"
"清華",10475,2,"清華"
"清楚點",10476,2,"清楚點"
"爽兵",10477,2,"爽兵"
"爽拉",10478,2,"爽拉"
"爽阿",10479,2,"爽阿"
"爽度",10480,2,"爽度"
"爽感",10481,2,"爽感"
"牽扯到",10482,2,"牽扯到"
"猜到",10483,2,"猜到"
"猜想",10484,2,"猜想"
"猜對",10485,2,"猜對"
"率",10486,2,"率"
"現年",10487,2,"現年"
"現成",10488,2,"現成"
"現形",10489,2,"現形"
"球棒",10490,2,"球棒"
"球隊",10491,2,"球隊"
"理想國",10492,2,"理想國"
"理虧",10493,2,"理虧"
"甜美",10494,2,"甜美"
"甜蜜",10495,2,"甜蜜"
"產量",10496,2,"產量"
"產權",10497,2,"產權"
"畢",10498,2,"畢"
"畢業生",10499,2,"畢業生"
"異",10500,2,"異"
"疏而不漏",10501,2,"疏而不漏"
"痕跡",10502,2,"痕跡"
"盒",10503,2,"盒"
"眼中釘",10504,2,"眼中釘"
"眼珠",10505,2,"眼珠"
"票投",10506,2,"票投"
"祭品",10507,2,"祭品"
"移民",10508,2,"移民"
"移走",10509,2,"移走"
"移花接木",10510,2,"移花接木"
"移動",10511,2,"移動"
"移轉",10512,2,"移轉"
"符",10513,2,"符"
"第0",10514,2,"第0"
"第11",10515,2,"第11"
"第12",10516,2,"第12"
"第310",10517,2,"第310"
"第4",10518,2,"第4"
"第6",10519,2,"第6"
"第7",10520,2,"第7"
"第一天",10521,2,"第一天"
"第七",10522,2,"第七"
"第九",10523,2,"第九"
"第二天",10524,2,"第二天"
"第十",10525,2,"第十"
"第三者",10526,2,"第三者"
"第四權",10527,2,"第四權"
"第零",10528,2,"第零"
"累計",10529,2,"累計"
"細",10530,2,"細"
"組組",10531,2,"組組"
"組裝",10532,2,"組裝"
"統合",10533,2,"統合"
"統統",10534,2,"統統"
"聊天文",10535,2,"聊天文"
"聊到",10536,2,"聊到"
"聊聊",10537,2,"聊聊"
"脫節",10538,2,"脫節"
"脫罪",10539,2,"脫罪"
"脫褲",10540,2,"脫褲"
"脫黨",10541,2,"脫黨"
"莉莉",10542,2,"莉莉"
"處女",10543,2,"處女"
"處刑",10544,2,"處刑"
"處死",10545,2,"處死"
"處決",10546,2,"處決"
"處處",10547,2,"處處"
"蛇",10548,2,"蛇"
"袍",10549,2,"袍"
"規範",10550,2,"規範"
"設想",10551,2,"設想"
"設置",10552,2,"設置"
"許水德",10553,2,"許水德"
"許添財",10554,2,"許添財"
"貧果",10555,2,"貧果"
"貪財",10556,2,"貪財"
"赦",10557,2,"赦"
"軟弱",10558,2,"軟弱"
"透漏",10559,2,"透漏"
"這板主",10560,2,"這板主"
"這陣",10561,2,"這陣"
"通報",10562,2,"通報"
"通順",10563,2,"通順"
"通話",10564,2,"通話"
"通膨",10565,2,"通膨"
"逛街",10566,2,"逛街"
"逝者",10567,2,"逝者"
"速食",10568,2,"速食"
"造搖",10569,2,"造搖"
"造謠文",10570,2,"造謠文"
"造謠板",10571,2,"造謠板"
"連累",10572,2,"連累"
"連勝",10573,2,"連勝"
"連勝文",10574,2,"連勝文"
"連載",10575,2,"連載"
"連篇",10576,2,"連篇"
"連鎖",10577,2,"連鎖"
"連續劇",10578,2,"連續劇"
"部族",10579,2,"部族"
"郭書瑤",10580,2,"郭書瑤"
"郭素春",10581,2,"郭素春"
"野蠻",10582,2,"野蠻"
"閉門",10583,2,"閉門"
"陰招",10584,2,"陰招"
"陳定南",10585,2,"陳定南"
"陳信融",10586,2,"陳信融"
"陳珊妮",10587,2,"陳珊妮"
"陳情",10588,2,"陳情"
"陳淑雲",10589,2,"陳淑雲"
"陳揮文",10590,2,"陳揮文"
"陳智盛",10591,2,"陳智盛"
"陳進興",10592,2,"陳進興"
"陷",10593,2,"陷"
"陷入",10594,2,"陷入"
"陸",10595,2,"陸"
"雪",10596,2,"雪"
"頂尖",10597,2,"頂尖"
"頂級",10598,2,"頂級"
"魚魚",10599,2,"魚魚"
"鳥人",10600,2,"鳥人"
"鳥蛋",10601,2,"鳥蛋"
"麥當勞",10602,2,"麥當勞"
"麥寮港",10603,2,"麥寮港"
"麻醉",10604,2,"麻醉"
"傀儡",10605,2,"傀儡"
"傑瑞別拖",10606,2,"傑瑞別拖"
"傘",10607,2,"傘"
"備用",10608,2,"備用"
"備註",10609,2,"備註"
"凱",10610,2,"凱"
"割",10611,2,"割"
"勝文",10612,2,"勝文"
"勝利組",10613,2,"勝利組"
"勝負",10614,2,"勝負"
"勝過",10615,2,"勝過"
"勞力",10616,2,"勞力"
"勞資",10617,2,"勞資"
"博文",10618,2,"博文"
"啾啾",10619,2,"啾啾"
"喀",10620,2,"喀"
"善化",10621,2,"善化"
"善意",10622,2,"善意"
"善盡",10623,2,"善盡"
"喊話",10624,2,"喊話"
"喜愛",10625,2,"喜愛"
"喜歡上",10626,2,"喜歡上"
"喝到",10627,2,"喝到"
"喪失",10628,2,"喪失"
"喬",10629,2,"喬"
"單子",10630,2,"單子"
"單區",10631,2,"單區"
"單眼皮",10632,2,"單眼皮"
"單單",10633,2,"單單"
"單價",10634,2,"單價"
"報料",10635,2,"報料"
"場所",10636,2,"場所"
"媒體報",10637,2,"媒體報"
"富可敵國",10638,2,"富可敵國"
"富有",10639,2,"富有"
"富姦",10640,2,"富姦"
"寒蟬",10641,2,"寒蟬"
"尋求",10642,2,"尋求"
"就坐",10643,2,"就坐"
"幾十億",10644,2,"幾十億"
"幾歲人",10645,2,"幾歲人"
"幾點幾",10646,2,"幾點幾"
"廁",10647,2,"廁"
"廂型車",10648,2,"廂型車"
"彭",10649,2,"彭"
"復出",10650,2,"復出"
"復原",10651,2,"復原"
"循",10652,2,"循"
"循環",10653,2,"循環"
"悲",10654,2,"悲"
"惡徒",10655,2,"惡徒"
"惱怒",10656,2,"惱怒"
"惱羞成怒",10657,2,"惱羞成怒"
"愉快",10658,2,"愉快"
"描",10659,2,"描"
"提出來",10660,2,"提出來"
"提名",10661,2,"提名"
"提供給",10662,2,"提供給"
"插頭",10663,2,"插頭"
"揚威",10664,2,"揚威"
"揚揚",10665,2,"揚揚"
"換句話說",10666,2,"換句話說"
"換言之",10667,2,"換言之"
"換算",10668,2,"換算"
"揪團",10669,2,"揪團"
"揭弊版",10670,2,"揭弊版"
"揮揮手",10671,2,"揮揮手"
"揮舞",10672,2,"揮舞"
"敢作",10673,2,"敢作"
"散",10674,2,"散"
"斯人",10675,2,"斯人"
"普世",10676,2,"普世"
"普立茲獎",10677,2,"普立茲獎"
"普羅米修斯",10678,2,"普羅米修斯"
"智能",10679,2,"智能"
"智識",10680,2,"智識"
"曾文秀",10681,2,"曾文秀"
"朝拜",10682,2,"朝拜"
"朝野",10683,2,"朝野"
"朝鮮",10684,2,"朝鮮"
"期中",10685,2,"期中"
"期限",10686,2,"期限"
"期許",10687,2,"期許"
"棋",10688,2,"棋"
"棍",10689,2,"棍"
"椎名",10690,2,"椎名"
"款式",10691,2,"款式"
"減",10692,2,"減"
"減碳",10693,2,"減碳"
"游盈隆",10694,2,"游盈隆"
"渾水",10695,2,"渾水"
"湯",10696,2,"湯"
"滋味",10697,2,"滋味"
"無可",10698,2,"無可"
"無名英雄",10699,2,"無名英雄"
"無妄之災",10700,2,"無妄之災"
"無非",10701,2,"無非"
"無故",10702,2,"無故"
"無益",10703,2,"無益"
"無須",10704,2,"無須"
"無論如何",10705,2,"無論如何"
"無趣",10706,2,"無趣"
"無糖",10707,2,"無糖"
"無懼",10708,2,"無懼"
"牌位",10709,2,"牌位"
"犀利",10710,2,"犀利"
"猶大",10711,2,"猶大"
"番茄",10712,2,"番茄"
"畫好",10713,2,"畫好"
"畫成",10714,2,"畫成"
"痛恨",10715,2,"痛恨"
"痞英",10716,2,"痞英"
"登月",10717,2,"登月"
"登板",10718,2,"登板"
"登載",10719,2,"登載"
"登魁",10720,2,"登魁"
"登輝",10721,2,"登輝"
"發生器",10722,2,"發生器"
"發佈",10723,2,"發佈"
"發展科",10724,2,"發展科"
"發臭",10725,2,"發臭"
"發送",10726,2,"發送"
"發動機",10727,2,"發動機"
"發電",10728,2,"發電"
"發瘋",10729,2,"發瘋"
"發廢文",10730,2,"發廢文"
"發稿",10731,2,"發稿"
"皓平",10732,2,"皓平"
"盜版",10733,2,"盜版"
"短期",10734,2,"短期"
"硬幣",10735,2,"硬幣"
"稀奇",10736,2,"稀奇"
"筆記本",10737,2,"筆記本"
"筆戰",10738,2,"筆戰"
"結",10739,2,"結"
"結成",10740,2,"結成"
"結尾",10741,2,"結尾"
"結為",10742,2,"結為"
"絕世",10743,2,"絕世"
"絕招",10744,2,"絕招"
"絕望",10745,2,"絕望"
"腎",10746,2,"腎"
"舒坦",10747,2,"舒坦"
"菜花",10748,2,"菜花"
"菜菜",10749,2,"菜菜"
"菠蘿",10750,2,"菠蘿"
"華",10751,2,"華"
"菸酒",10752,2,"菸酒"
"著名",10753,2,"著名"
"著作權",10754,2,"著作權"
"著實",10755,2,"著實"
"虛",10756,2,"虛"
"虛爆",10757,2,"虛爆"
"蛤",10758,2,"蛤"
"街",10759,2,"街"
"裁量權",10760,2,"裁量權"
"裁撤",10761,2,"裁撤"
"視力",10762,2,"視力"
"視而不見",10763,2,"視而不見"
"視訊",10764,2,"視訊"
"視窗",10765,2,"視窗"
"訴求",10766,2,"訴求"
"訴說",10767,2,"訴說"
"註一",10768,2,"註一"
"註二",10769,2,"註二"
"註解",10770,2,"註解"
"詐",10771,2,"詐"
"詐胡",10772,2,"詐胡"
"評估",10773,2,"評估"
"評為",10774,2,"評為"
"評價",10775,2,"評價"
"詞窮",10776,2,"詞窮"
"象板",10777,2,"象板"
"象徵性",10778,2,"象徵性"
"買不到",10779,2,"買不到"
"買不起",10780,2,"買不起"
"買好",10781,2,"買好"
"買旺報",10782,2,"買旺報"
"買單",10783,2,"買單"
"買進",10784,2,"買進"
"貸款",10785,2,"貸款"
"費心",10786,2,"費心"
"貼切",10787,2,"貼切"
"貼身",10788,2,"貼身"
"貼網",10789,2,"貼網"
"超久",10790,2,"超久"
"超大型",10791,2,"超大型"
"超正",10792,2,"超正"
"超孬",10793,2,"超孬"
"超班",10794,2,"超班"
"超商",10795,2,"超商"
"超硬",10796,2,"超硬"
"超噁",10797,2,"超噁"
"超優",10798,2,"超優"
"越權",10799,2,"越權"
"跌倒",10800,2,"跌倒"
"跑出",10801,2,"跑出"
"跑出去",10802,2,"跑出去"
"跑回",10803,2,"跑回"
"跑步",10804,2,"跑步"
"跑票",10805,2,"跑票"
"跑新聞",10806,2,"跑新聞"
"跑腿",10807,2,"跑腿"
"跑鞋",10808,2,"跑鞋"
"軸",10809,2,"軸"
"辜",10810,2,"辜"
"辜負",10811,2,"辜負"
"週遭",10812,2,"週遭"
"週邊",10813,2,"週邊"
"進位",10814,2,"進位"
"進到",10815,2,"進到"
"郵差",10816,2,"郵差"
"量產",10817,2,"量產"
"開水",10818,2,"開水"
"開完",10819,2,"開完"
"開明",10820,2,"開明"
"開站",10821,2,"開站"
"開張",10822,2,"開張"
"開幕",10823,2,"開幕"
"閑",10824,2,"閑"
"間有",10825,2,"間有"
"間諜",10826,2,"間諜"
"陽光",10827,2,"陽光"
"隆",10828,2,"隆"
"雅婷",10829,2,"雅婷"
"集合",10830,2,"集合"
"集成",10831,2,"集成"
"集氣文",10832,2,"集氣文"
"集數",10833,2,"集數"
"集權",10834,2,"集權"
"雲林縣",10835,2,"雲林縣"
"雲縣",10836,2,"雲縣"
"項目",10837,2,"項目"
"順手",10838,2,"順手"
"順耳",10839,2,"順耳"
"須要",10840,2,"須要"
"飲水思源",10841,2,"飲水思源"
"黃羊",10842,2,"黃羊"
"黃色",10843,2,"黃色"
"黃金",10844,2,"黃金"
"黑手",10845,2,"黑手"
"黑字",10846,2,"黑字"
"亂投",10847,2,"亂投"
"亂花",10848,2,"亂花"
"亂政",10849,2,"亂政"
"亂捅",10850,2,"亂捅"
"亂推",10851,2,"亂推"
"亂桶",10852,2,"亂桶"
"亂貼",10853,2,"亂貼"
"亂寫",10854,2,"亂寫"
"亂編",10855,2,"亂編"
"傲嬌",10856,2,"傲嬌"
"傳人",10857,2,"傳人"
"傳述",10858,2,"傳述"
"傳訊",10859,2,"傳訊"
"傳動",10860,2,"傳動"
"傳達",10861,2,"傳達"
"傷口",10862,2,"傷口"
"傷心",10863,2,"傷心"
"傷兵",10864,2,"傷兵"
"傷害到",10865,2,"傷害到"
"傾家蕩產",10866,2,"傾家蕩產"
"僅存",10867,2,"僅存"
"僅有",10868,2,"僅有"
"勢必",10869,2,"勢必"
"勤勞",10870,2,"勤勞"
"匯",10871,2,"匯"
"匯流排",10872,2,"匯流排"
"匯報",10873,2,"匯報"
"嗜",10874,2,"嗜"
"嗜血",10875,2,"嗜血"
"圓",10876,2,"圓"
"塑造",10877,2,"塑造"
"奧步",10878,2,"奧步"
"嫌疑人",10879,2,"嫌疑人"
"幹出",10880,2,"幹出"
"幹含",10881,2,"幹含"
"幹拎",10882,2,"幹拎"
"幹林",10883,2,"幹林"
"幹麻阿",10884,2,"幹麻阿"
"幹幹",10885,2,"幹幹"
"幹爆",10886,2,"幹爆"
"廉",10887,2,"廉"
"廉政鼠",10888,2,"廉政鼠"
"廉價",10889,2,"廉價"
"微生物",10890,2,"微生物"
"微妙",10891,2,"微妙"
"微笑",10892,2,"微笑"
"微觀",10893,2,"微觀"
"想好",10894,2,"想好"
"想清楚",10895,2,"想清楚"
"想開",10896,2,"想開"
"想當然",10897,2,"想當然"
"惹人厭",10898,2,"惹人厭"
"惹惱",10899,2,"惹惱"
"愈來愈",10900,2,"愈來愈"
"意大利",10901,2,"意大利"
"意涵",10902,2,"意涵"
"意識",10903,2,"意識"
"愚人節",10904,2,"愚人節"
"愛心",10905,2,"愛心"
"愛國",10906,2,"愛國"
"愛情",10907,2,"愛情"
"愛惜",10908,2,"愛惜"
"愛亂",10909,2,"愛亂"
"愛護",10910,2,"愛護"
"感嘆",10911,2,"感嘆"
"愧疚",10912,2,"愧疚"
"愧對",10913,2,"愧對"
"慎重",10914,2,"慎重"
"搜集",10915,2,"搜集"
"搞定",10916,2,"搞定"
"搞鬼",10917,2,"搞鬼"
"搬出",10918,2,"搬出"
"搶走",10919,2,"搶走"
"搶救",10920,2,"搶救"
"搶灘",10921,2,"搶灘"
"敬上",10922,2,"敬上"
"敬意",10923,2,"敬意"
"新一代",10924,2,"新一代"
"新人",10925,2,"新人"
"新工處",10926,2,"新工處"
"新化",10927,2,"新化"
"新來",10928,2,"新來"
"新店",10929,2,"新店"
"新版",10930,2,"新版"
"新聞報",10931,2,"新聞報"
"新興",10932,2,"新興"
"暗中",10933,2,"暗中"
"會合",10934,2,"會合"
"會多",10935,2,"會多"
"會場",10936,2,"會場"
"楊宗憲",10937,2,"楊宗憲"
"業",10938,2,"業"
"業主",10939,2,"業主"
"業餘",10940,2,"業餘"
"極為",10941,2,"極為"
"極端",10942,2,"極端"
"概況",10943,2,"概況"
"概述",10944,2,"概述"
"毀容",10945,2,"毀容"
"毀謗罪",10946,2,"毀謗罪"
"毀壞",10947,2,"毀壞"
"溜冰",10948,2,"溜冰"
"滅亡",10949,2,"滅亡"
"滅口",10950,2,"滅口"
"煙毒犯",10951,2,"煙毒犯"
"煙霧",10952,2,"煙霧"
"照抄",10953,2,"照抄"
"照相",10954,2,"照相"
"照樣",10955,2,"照樣"
"照辦",10956,2,"照辦"
"煲",10957,2,"煲"
"當下",10958,2,"當下"
"當初戰",10959,2,"當初戰"
"當官",10960,2,"當官"
"當做",10961,2,"當做"
"當晚",10962,2,"當晚"
"當權",10963,2,"當權"
"督導",10964,2,"督導"
"睪丸",10965,2,"睪丸"
"碎片",10966,2,"碎片"
"碰上",10967,2,"碰上"
"碰不得",10968,2,"碰不得"
"禁忌",10969,2,"禁忌"
"禁見",10970,2,"禁見"
"經理",10971,2,"經理"
"經濟系",10972,2,"經濟系"
"罪刑",10973,2,"罪刑"
"罪有應得",10974,2,"罪有應得"
"罪惡",10975,2,"罪惡"
"義不容辭",10976,2,"義不容辭"
"聖經",10977,2,"聖經"
"腦海",10978,2,"腦海"
"腦殘孬",10979,2,"腦殘孬"
"萬分",10980,2,"萬分"
"萬金油",10981,2,"萬金油"
"落差",10982,2,"落差"
"落格",10983,2,"落格"
"落得",10984,2,"落得"
"落幕",10985,2,"落幕"
"號召",10986,2,"號召"
"裏",10987,2,"裏"
"裘",10988,2,"裘"
"補救",10989,2,"補救"
"補給",10990,2,"補給"
"補買",10991,2,"補買"
"補爆",10992,2,"補爆"
"裝乖",10993,2,"裝乖"
"裝孬",10994,2,"裝孬"
"裝病",10995,2,"裝病"
"裝置",10996,2,"裝置"
"裝熟",10997,2,"裝熟"
"試問",10998,2,"試問"
"試想",10999,2,"試想"
"試試看",11000,2,"試試看"
"試圖",11001,2,"試圖"
"該下台",11002,2,"該下台"
"該不該",11003,2,"該不該"
"詹琇雯",11004,2,"詹琇雯"
"誠信",11005,2,"誠信"
"誠懇",11006,2,"誠懇"
"資工",11007,2,"資工"
"資助",11008,2,"資助"
"資料庫",11009,2,"資料庫"
"跡象",11010,2,"跡象"
"路費",11011,2,"路費"
"跳出",11012,2,"跳出"
"躲過",11013,2,"躲過"
"較為",11014,2,"較為"
"載",11015,2,"載"
"農",11016,2,"農"
"農民",11017,2,"農民"
"逼退",11018,2,"逼退"
"逼逼",11019,2,"逼逼"
"逾",11020,2,"逾"
"遇上",11021,2,"遇上"
"遊",11022,2,"遊"
"遊行",11023,2,"遊行"
"運用",11024,2,"運用"
"運動員",11025,2,"運動員"
"運動類",11026,2,"運動類"
"運費",11027,2,"運費"
"過世",11028,2,"過世"
"過失",11029,2,"過失"
"過河拆橋",11030,2,"過河拆橋"
"過問",11031,2,"過問"
"過敏",11032,2,"過敏"
"過量",11033,2,"過量"
"過過",11034,2,"過過"
"過濾",11035,2,"過濾"
"遑論",11036,2,"遑論"
"道歉信",11037,2,"道歉信"
"道聽塗說",11038,2,"道聽塗說"
"違反板",11039,2,"違反板"
"違建",11040,2,"違建"
"違約",11041,2,"違約"
"違背",11042,2,"違背"
"違章",11043,2,"違章"
"隔年",11044,2,"隔年"
"隔壁桌",11045,2,"隔壁桌"
"隔壁攤",11046,2,"隔壁攤"
"零頭",11047,2,"零頭"
"雷洛",11048,2,"雷洛"
"雷神托爾",11049,2,"雷神托爾"
"雷茫",11050,2,"雷茫"
"電子報",11051,2,"電子報"
"電路",11052,2,"電路"
"電磁",11053,2,"電磁"
"電器",11054,2,"電器"
"預",11055,2,"預"
"預定",11056,2,"預定"
"預設",11057,2,"預設"
"預備",11058,2,"預備"
"預測到",11059,2,"預測到"
"預覽",11060,2,"預覽"
"飽飽",11061,2,"飽飽"
"劃時代",11062,2,"劃時代"
"厭倦",11063,2,"厭倦"
"嘔",11064,2,"嘔"
"嘗試",11065,2,"嘗試"
"圖文",11066,2,"圖文"
"圖阿",11067,2,"圖阿"
"境",11068,2,"境"
"壽險",11069,2,"壽險"
"夢境",11070,2,"夢境"
"奪走",11071,2,"奪走"
"奪取",11072,2,"奪取"
"實情",11073,2,"實情"
"對罵",11074,2,"對罵"
"對質",11075,2,"對質"
"對簿公堂",11076,2,"對簿公堂"
"幣買",11077,2,"幣買"
"廖",11078,2,"廖"
"弊",11079,2,"弊"
"慘劇",11080,2,"慘劇"
"慚愧",11081,2,"慚愧"
"慷慨",11082,2,"慷慨"
"截止",11083,2,"截止"
"截稿",11084,2,"截稿"
"摘要",11085,2,"摘要"
"摧毀",11086,2,"摧毀"
"摳硬",11087,2,"摳硬"
"摳摳",11088,2,"摳摳"
"撇",11089,2,"撇"
"撇開",11090,2,"撇開"
"撤掉",11091,2,"撤掉"
"撤廠",11092,2,"撤廠"
"敲門",11093,2,"敲門"
"旗",11094,2,"旗"
"旗子",11095,2,"旗子"
"暢",11096,2,"暢"
"榜樣",11097,2,"榜樣"
"構造",11098,2,"構造"
"槍聲",11099,2,"槍聲"
"歉文",11100,2,"歉文"
"滴佳",11101,2,"滴佳"
"滴滴",11102,2,"滴滴"
"滷味",11103,2,"滷味"
"滾開",11104,2,"滾開"
"滿多",11105,2,"滿多"
"滿意",11106,2,"滿意"
"漂",11107,2,"漂"
"漂白",11108,2,"漂白"
"演技",11109,2,"演技"
"演講會",11110,2,"演講會"
"演藝圈",11111,2,"演藝圈"
"演變成",11112,2,"演變成"
"漠視",11113,2,"漠視"
"漢",11114,2,"漢"
"漢摩拉",11115,2,"漢摩拉"
"漫",11116,2,"漫"
"漫罵",11117,2,"漫罵"
"漲停",11118,2,"漲停"
"漸",11119,2,"漸"
"煽惑",11120,2,"煽惑"
"疑心",11121,2,"疑心"
"盡責",11122,2,"盡責"
"碟",11123,2,"碟"
"碩",11124,2,"碩"
"福利",11125,2,"福利"
"種下",11126,2,"種下"
"種子",11127,2,"種子"
"種好",11128,2,"種好"
"稱不上",11129,2,"稱不上"
"端午節",11130,2,"端午節"
"算計",11131,2,"算計"
"算數",11132,2,"算數"
"管不了",11133,2,"管不了"
"管事",11134,2,"管事"
"管徑",11135,2,"管徑"
"管教",11136,2,"管教"
"粽子",11137,2,"粽子"
"精英",11138,2,"精英"
